,Customer Name,Project,Worked Date,Task or Ticket Title,Resource Name,Billable Hours,Hourly Billing Rate,Extended Price,Detailed Customer Category
0,Macroservice,Enhancements to Site Creation App and Scripts,2024-01-02 00:00:00,Consultant,GO,2,175,350,Commercial/Corporate
1,Macroservice,Enhancements to Site Creation App and Scripts,2024-01-03 00:00:00,Consultant,GO,4,175,700,Commercial/Corporate
2,Macroservice,Enhancements to Site Creation App and Scripts,2024-01-04 00:00:00,Consultant,GO,3,175,525,Commercial/Corporate
3,Macroservice,Enhancements to Site Creation App and Scripts,2024-01-16 00:00:00,Consultant,GO,4,175,700,Commercial/Corporate
4,Macroservice,Enhancements to Site Creation App and Scripts,2024-01-17 00:00:00,Consultant,GO,4,175,700,Commercial/Corporate
5,Macroservice,Enhancements to Site Creation App and Scripts,2024-01-18 00:00:00,Consultant,GO,4,175,700,Commercial/Corporate
6,Macroservice,Enhancements to Site Creation App and Scripts,2024-01-19 00:00:00,Consultant,GO,3,175,525,Commercial/Corporate
7,Macroservice,Enhancements to Site Creation App and Scripts,2024-01-22 00:00:00,Consultant,GO,2,175,350,Commercial/Corporate
8,Macroservice,Site Creation Assitance,2024-10-15 00:00:00,Technical Consultant,GO,1,175,175,Commercial/Corporate
9,Macroservice,Site Creation Assitance,2024-10-16 00:00:00,Technical Consultant,GO,1,175,175,Commercial/Corporate
10,Macroservice,Site Creation Assitance,2024-10-23 00:00:00,Technical Consultant,GO,1,175,175,Commercial/Corporate
11,Macroservice,Site Creation Assitance,2024-10-24 00:00:00,Technical Consultant,GO,3,175,525,Commercial/Corporate
12,Macroservice,Site Creation Assitance,2024-10-30 00:00:00,Technical Consultant,GO,1,175,175,Commercial/Corporate
13,Macroservice,Site Creation Assitance,2024-10-31 00:00:00,Technical Consultant,GO,1,175,175,Commercial/Corporate
14,State Transportation,Intranet Extranet Architect and Implementation,2024-01-02 00:00:00,Implementation (int),GO,4,200,800,Government/Municipality
15,State Transportation,Intranet Extranet Architect and Implementation,2024-01-02 00:00:00,PM,BG,1,162.5,162.5,Government/Municipality
16,State Transportation,Intranet Extranet Architect and Implementation,2024-01-03 00:00:00,Implementation (int),GO,3,200,600,Government/Municipality
17,State Transportation,Intranet Extranet Architect and Implementation,2024-01-03 00:00:00,PM,BG,2,162.5,325,Government/Municipality
18,State Transportation,Azure Data Pipeline,2024-01-03 00:00:00,Data Management Consultant,Contractor,2,187.5,375,Government/Municipality
19,State Transportation,Intranet Extranet Architect and Implementation,2024-01-04 00:00:00,Implementation (int),GO,3.5,200,700,Government/Municipality
20,State Transportation,Intranet Extranet Architect and Implementation,2024-01-04 00:00:00,PM,BG,1,162.5,162.5,Government/Municipality
21,State Transportation,Intranet Extranet Architect and Implementation,2024-01-05 00:00:00,Implementation (int),GO,3,200,600,Government/Municipality
22,State Transportation,Azure Data Pipeline,2024-01-05 00:00:00,PM,BG,1,150,150,Government/Municipality
23,State Transportation,Azure Data Pipeline,2024-01-05 00:00:00,Data Management Consultant,Contractor,1,187.5,187.5,Government/Municipality
24,State Transportation,Azure Data Pipeline,2024-01-06 00:00:00,Data Management Consultant,Contractor,3,187.5,562.5,Government/Municipality
25,State Transportation,Intranet Extranet Architect and Implementation,2024-01-08 00:00:00,Create record libraries or lists,GO,3.75,200,750,Government/Municipality
26,State Transportation,Intranet Extranet Architect and Implementation,2024-01-08 00:00:00,Implementation,Contractor,6,187.5,1125,Government/Municipality
27,State Transportation,Intranet Extranet Architect and Implementation,2024-01-08 00:00:00,PM,BG,1,162.5,162.5,Government/Municipality
28,State Transportation,Azure Data Pipeline,2024-01-08 00:00:00,Data Management Consultant,Contractor,2,187.5,375,Government/Municipality
29,State Transportation,Intranet Extranet Architect and Implementation,2024-01-09 00:00:00,Create record libraries or lists,GO,5,200,1000,Government/Municipality
30,State Transportation,Intranet Extranet Architect and Implementation,2024-01-09 00:00:00,Implementation,Contractor,1.5,187.5,281.25,Government/Municipality
31,State Transportation,Intranet Extranet Architect and Implementation,2024-01-09 00:00:00,Implementation,Contractor,6,187.5,1125,Government/Municipality
